Census Tract,Total Families,Families in Poverty,Percent Families in Poverty
110.04,Chatham,1051.00,34.00,3.20
110.05,Chatham,1576.00,15.00,1.00
110.06,Chatham,1272.00,58.00,4.60
1101,Bulloch,1004.00,235.00,23.40
1101,McIntosh,1230.00,47.00,3.80
1101,Walton,2467.00,111.00,4.50
1102,Bulloch,2096.00,561.00,26.80
1102,McIntosh,1177.00,208.00,17.70
1102,Walton,1270.00,155.00,12.20
1103,Bulloch,2380.00,252.00,10.60
1103,McIntosh,1196.00,302.00,25.30
1103,Walton,1687.00,245.00,14.50
1104,Walton,1768.00,509.00,28.80
1104.01,Bulloch,708.00,161.00,22.70
1104.03,Bulloch,928.00,328.00,35.30
1104.04,Bulloch,211.00,99.00,46.90
1105,Bulloch,813.00,206.00,25.30
1105.03,Walton,982.00,59.00,6.00
1105.04,Walton,1303.00,158.00,12.10
1105.05,Walton,1234.00,106.00,8.60
1105.06,Walton,1595.00,87.00,5.50
1105.07,Walton,2105.00,153.00,7.30
1105.08,Walton,1353.00,126.00,9.30
1106.01,Bulloch,1846.00,342.00,18.50
1106.01,Walton,1329.00,99.00,7.50
1106.02,Bulloch,1267.00,357.00,28.20
1106.02,Walton,1543.00,62.00,4.00
1106.03,Walton,1184.00,84.00,7.10
1107,Bulloch,2397.00,362.00,15.10
1107,Walton,1944.00,286.00,14.70
1108,Bulloch,651.00,142.00,21.80
1108,Walton,1998.00,130.00,6.50
1109,Bulloch,1839.00,123.00,6.70
111,Bibb,403.00,207.00,51.40
111,Fulton,416.00,0.00,0.00
111,Lowndes,343.00,37.00,10.80
111,Muscogee,179.00,43.00,24.00
111.03,Chatham,930.00,49.00,5.30
111.04,Chatham,1271.00,79.00,6.20
111.06,Chatham,1391.00,66.00,4.70
111.07,Chatham,922.00,10.00,1.10
111.08,Chatham,967.00,29.00,3.00
111.09,Chatham,1919.00,22.00,1.20
112,Chatham,267.00,61.00,22.90
112,Dougherty,939.00,336.00,35.80
112,Lowndes,943.00,119.00,12.60
112,Muscogee,319.00,86.00,27.00
112.01,Fulton,827.00,187.00,22.60
112.02,Fulton,838.00,246.00,29.40
113,Chatham,389.00,112.00,28.80
113,Dougherty,518.00,69.00,13.30
113.01,Fulton,902.00,169.00,18.70
113.01,Lowndes,646.00,366.00,56.70
113.02,Lowndes,443.00,113.00,25.50
113.03,Fulton,1883.00,397.00,21.10
113.05,Fulton,942.00,335.00,35.60
113.06,Fulton,527.00,102.00,19.40
114,Chatham,144.00,16.00,11.10
114,Dougherty,323.00,197.00,61.00
114,Muscogee,529.00,208.00,39.30
114.01,Lowndes,527.00,107.00,20.30
114.02,Lowndes,482.00,132.00,27.40
114.03,Lowndes,2232.00,473.00,21.20
114.05,Fulton,1780.00,240.00,13.50
114.10,Fulton,1915.00,15.00,0.80
114.11,Fulton,2216.00,70.00,3.20
114.12,Fulton,2259.00,59.00,2.60
114.14,Fulton,1930.00,30.00,1.60
114.16,Fulton,1317.00,36.00,2.70
114.17,Fulton,1342.00,45.00,3.40
114.18,Fulton,1710.00,14.00,0.80
114.19,Fulton,1423.00,58.00,4.10
114.20,Fulton,1447.00,456.00,31.50
114.21,Fulton,863.00,157.00,18.20
114.22,Fulton,992.00,49.00,4.90
114.23,Fulton,1445.00,52.00,3.60
114.24,Fulton,1480.00,14.00,1.00
114.25,Fulton,1968.00,48.00,2.40
114.26,Fulton,594.00,52.00,8.80
114.27,Fulton,2100.00,45.00,2.10
115,Bibb,225.00,116.00,51.60
115,Chatham,718.00,40.00,5.60
115,Lowndes,917.00,140.00,15.30
115,Muscogee,1378.00,270.00,19.60
115.03,Fulton,2915.00,96.00,3.30
115.04,Fulton,3517.00,64.00,1.80
115.05,Fulton,1258.00,0.00,0.00
115.06,Fulton,1682.00,42.00,2.50
116,Chatham,533.00,121.00,22.70
116,Dougherty,535.00,62.00,11.60
116,Lowndes,1031.00,91.00,8.80
116.10,Fulton,1544.00,127.00,8.20
116.11,Fulton,1759.00,145.00,8.20
116.12,Fulton,1025.00,35.00,3.40
116.13,Fulton,1740.00,150.00,8.60
116.14,Fulton,4109.00,314.00,7.60
116.15,Fulton,2703.00,29.00,1.10
116.16,Fulton,1448.00,54.00,3.70
116.17,Fulton,1934.00,27.00,1.40
116.18,Fulton,1207.00,74.00,6.10
116.19,Fulton,2199.00,129.00,5.90
116.20,Fulton,2865.00,128.00,4.50
116.21,Fulton,1989.00,154.00,7.70
116.22,Fulton,2781.00,166.00,6.00
116.23,Fulton,3362.00,233.00,6.90
116.24,Fulton,1156.00,6.00,0.50
116.25,Fulton,2086.00,63.00,3.00
116.26,Fulton,2415.00,138.00,5.70
117.01,Bibb,607.00,117.00,19.30
117.02,Bibb,979.00,209.00,21.40
118,Bibb,871.00,158.00,18.10
118,Fulton,317.00,84.00,26.50
119,Bibb,394.00,66.00,16.80
119,Fulton,177.00,73.00,41.20
12,Chatham,535.00,360.00,67.30
12,Clarke,775.00,77.00,9.90
12,Floyd,1046.00,146.00,14.00
12,Muscogee,784.00,80.00,10.20
12,Richmond,1043.00,220.00,21.10
12,Whitfield,1721.00,418.00,24.30
12.01,Fulton,578.00,14.00,2.40
12.01,Hall,1508.00,375.00,24.90
12.02,Fulton,531.00,0.00,0.00
12.02,Hall,1327.00,273.00,20.60
120,Bibb,1146.00,22.00,1.90
120,Fulton,366.00,142.00,38.80
1201.01,Paulding,3428.00,80.00,2.30
1201.02,Paulding,3110.00,207.00,6.70
1201.03,Paulding,2598.00,135.00,5.20
1201.04,Paulding,736.00,39.00,5.30
1201.98,Harris,1573.00,164.00,10.40
1202,Harris,904.00,113.00,12.50
1202,Terrell,383.00,90.00,23.50
1202.02,Paulding,2036.00,105.00,5.20
1202.03,Paulding,1290.00,114.00,8.80
1202.04,Paulding,1966.00,183.00,9.30
1203,Harris,2623.00,163.00,6.20
1203,Terrell,714.00,240.00,33.60
1203.01,Paulding,1529.00,231.00,15.10
1203.02,Paulding,3174.00,445.00,14.00
1203.03,Paulding,520.00,45.00,8.70
1204,Paulding,4739.00,654.00,13.80
1204,Terrell,675.00,262.00,38.80
1204.01,Harris,1766.00,22.00,1.30
1204.02,Harris,2240.00,78.00,3.50
1205,Terrell,437.00,66.00,15.10
1205.01,Paulding,1779.00,263.00,14.80
1205.02,Paulding,2319.00,88.00,3.80
1205.03,Paulding,1428.00,87.00,6.10
1206.01,Paulding,1293.00,72.00,5.60
1206.02,Paulding,2700.00,303.00,11.20
1206.03,Paulding,1610.00,150.00,9.30
1206.04,Paulding,1356.00,117.00,8.60
1206.05,Paulding,1551.00,249.00,16.10
121.01,Bibb,514.00,71.00,13.80
121.02,Bibb,1224.00,16.00,1.30
122,Bibb,497.00,190.00,38.20
123,Bibb,516.00,254.00,49.20
123,Fulton,534.00,42.00,7.90
124,Bibb,1127.00,492.00,43.70
125,Bibb,593.00,302.00,50.90
126,Bibb,973.00,404.00,41.50
127,Bibb,390.00,240.00,61.50
128,Bibb,747.00,391.00,52.30
129,Bibb,392.00,155.00,39.50
13,Floyd,1681.00,292.00,17.40
13,Fulton,562.00,29.00,5.20
13,Richmond,351.00,20.00,5.70
13,Whitfield,871.00,319.00,36.60
13.01,Hall,1537.00,191.00,12.40
13.02,Hall,1362.00,105.00,7.70
1301.01,Forsyth,1241.00,79.00,6.40
1301.02,Forsyth,724.00,74.00,10.20
1301.03,Forsyth,1001.00,112.00,11.20
1301.04,Forsyth,1267.00,31.00,2.50
1301.05,Forsyth,671.00,110.00,16.40
1302.01,Forsyth,1372.00,95.00,6.90
1302.02,Forsyth,1152.00,16.00,1.40
1302.03,Forsyth,1347.00,76.00,5.60
1302.04,Forsyth,1368.00,106.00,7.80
1302.05,Forsyth,781.00,66.00,8.50
1303,Clarke,1220.00,462.00,37.90
1303.01,Forsyth,1397.00,119.00,8.50
1303.02,Forsyth,1441.00,26.00,1.80
1303.03,Forsyth,1012.00,29.00,2.90
1303.04,Forsyth,1121.00,10.00,0.90
1303.05,Forsyth,1587.00,35.00,2.20
1303.06,Forsyth,1428.00,38.00,2.70
1303.07,Forsyth,1226.00,63.00,5.10
1304,Clarke,1558.00,237.00,15.20
1304.03,Forsyth,1670.00,108.00,6.50
1304.04,Forsyth,1132.00,33.00,2.90
1304.05,Forsyth,1076.00,42.00,3.90
1304.06,Forsyth,1535.00,202.00,13.20
1304.08,Forsyth,841.00,66.00,7.90
1304.09,Forsyth,711.00,38.00,5.30
1304.10,Forsyth,990.00,80.00,8.10
1305,Clarke,677.00,44.00,6.50
1305.03,Forsyth,715.00,47.00,6.60
1305.04,Forsyth,955.00,73.00,7.60
1305.05,Forsyth,836.00,90.00,10.80
1305.06,Forsyth,965.00,32.00,3.30
1305.07,Forsyth,684.00,0.00,0.00
1305.08,Forsyth,1474.00,7.00,0.50
1305.09,Forsyth,1023.00,0.00,0.00
1305.10,Forsyth,1746.00,81.00,4.60
1306,Clarke,1312.00,127.00,9.70
1306.01,Forsyth,1296.00,130.00,10.00
1306.02,Forsyth,1551.00,100.00,6.50
1306.03,Forsyth,1438.00,70.00,4.90
1306.04,Forsyth,1333.00,9.00,0.70
1306.05,Forsyth,1179.00,14.00,1.20
1306.06,Forsyth,1281.00,24.00,1.90
1306.07,Forsyth,1504.00,33.00,2.20
1306.08,Forsyth,1562.00,130.00,8.30
1306.09,Forsyth,1520.00,63.00,4.10
1306.10,Forsyth,1359.00,32.00,2.40
1306.11,Forsyth,1174.00,34.00,2.90
1306.12,Forsyth,1800.00,25.00,1.40
1306.13,Forsyth,929.00,20.00,2.20
1307,Clarke,1283.00,74.00,5.80
131.01,Bibb,1114.00,425.00,38.20
131.02,Bibb,944.00,329.00,34.90
132.01,Bibb,1531.00,440.00,28.70
132.02,Bibb,612.00,283.00,46.20
133.02,Bibb,883.00,217.00,24.60
134.07,Bibb,1217.00,236.00,19.40
134.08,Bibb,1197.00,19.00,1.60
134.09,Bibb,1046.00,26.00,2.50
134.10,Bibb,1602.00,66.00,4.10
134.11,Bibb,999.00,97.00,9.70
135.02,Bibb,373.00,90.00,24.10
135.03,Bibb,508.00,77.00,15.20
135.04,Bibb,2262.00,198.00,8.80
136.03,Bibb,804.00,69.00,8.60
136.04,Bibb,1319.00,89.00,6.80
136.05,Bibb,1203.00,95.00,7.90
136.06,Bibb,1759.00,27.00,1.50
137,Bibb,256.00,89.00,34.80
138,Bibb,382.00,175.00,45.80
139,Bibb,430.00,204.00,47.40
14,Floyd,1857.00,79.00,4.30
14,Fulton,305.00,17.00,5.60
14,Muscogee,311.00,134.00,43.10
14,Richmond,304.00,143.00,47.00
14,Whitfield,1643.00,161.00,9.80
14.02,Hall,1489.00,116.00,7.80
14.03,Dougherty,637.00,234.00,36.70
14.03,Hall,869.00,133.00,15.30
14.04,Hall,1203.00,137.00,11.40
1401.01,Fayette,2125.00,299.00,14.10
1401.02,Fayette,1508.00,93.00,6.20
1402.03,Fayette,1558.00,35.00,2.30
1402.04,Fayette,1511.00,177.00,11.70
1402.06,Fayette,1252.00,61.00,4.90
1402.07,Fayette,1634.00,28.00,1.70
1402.08,Fayette,2013.00,156.00,7.80
1403,Clarke,1124.00,331.00,29.50
1403.03,Fayette,1269.00,41.00,3.20
1403.04,Fayette,1534.00,66.00,4.30
1403.05,Fayette,1342.00,42.00,3.10
1403.06,Fayette,2165.00,178.00,8.20
1403.07,Fayette,1433.00,7.00,0.50
1404,Clarke,796.00,285.00,35.80
1404.03,Fayette,1418.00,21.00,1.50
1404.04,Fayette,1572.00,70.00,4.50
1404.05,Fayette,1079.00,105.00,9.70
1404.06,Fayette,909.00,140.00,15.40
1404.07,Fayette,2212.00,78.00,3.50
1404.08,Fayette,887.00,30.00,3.40
1405,Clarke,402.00,148.00,36.80
1405.01,Fayette,1751.00,66.00,3.80
1405.02,Fayette,958.00,52.00,5.40
1406,Clarke,1164.00,233.00,20.00
